"","testing","Crosses","yBLUE","yHat","popChk","Year"
"1",127,"SL18-NC-11-FG1xSL18-NL-2-MG1",0.176517493489637,0.429261014690824,"ES",2020
"2",135,"SL18-NC-12-FG2xSA18-CB-4-MG3",0.00297815602907393,0.431385798148353,"ES",2020
"3",154,"SL18-NC-10-FG1xSL18-NC-5-MG1",-0.41270957096395,0.419028172814804,"ES",2020
"4",163,"SL18-NC-12-FG2xSL18-OI-16-MG1",0.0848404664780238,0.423489950066804,"ES",2020
"5",177,"SL18-NC-10-FG3xSL18-NL-5-MG2",-0.000475631901190194,0.31171462675359,"ES",2020
"6",183,"SL18-NC-10-FG1xSL18-OI-11-MG4",-0.248528176394311,0.447197297809483,"ES",2020
"7",188,"SL18-NC-9-FG2xSL18-JS-11-MG3",0.0345891981723272,0.522354090764039,"ES",2020
"8",193,"SL18-NC-5-FG2xSL18-JS-11-MG3",-0.0903258715104736,0.463259895549781,"ES",2020
"9",205,"SL18-NC-12-FG2xSA18-CB-3-MG1",0.258400501047665,0.47147977034293,"ES",2020
"10",209,"SL18-NC-12-FG2xSL18-NL-5-MG2",NA,0.420892403219362,"ES",2020
"11",213,"SL18-NC-1-FG1xSL18-NC-12-MG3",-0.366464320208186,0.546270639267499,"ES",2020
"12",214,"SL18-NC-15-FG3xSL18-CC-1-MG2",-0.365739017208187,0.593070848872456,"ES",2020
"13",242,"SL18-NC-8-FG1xSL18-NL-7-MG2",0.00424099892908451,0.44630088424886,"ES",2020
"14",245,"SL18-NC-5-FG3xSL18-OI-2-MG2",-0.161954838952336,0.401746277804347,"ES",2020
"15",250,"SL18-NC-10-FG3xSA18-CB-3-MG2",-0.061273585303403,0.420758754844522,"ES",2020
